start,end,duration_min
2020-07-21 10:10:00,2020-07-21 10:15:00,5.0
2020-07-21 10:25:00,2020-07-21 10:30:00,5.0
2020-07-21 10:35:00,2020-07-21 10:40:00,5.0
2020-07-21 11:55:00,2020-07-21 12:00:00,5.0
2020-07-21 13:30:00,2020-07-21 13:35:00,5.0
2020-07-21 14:15:00,2020-07-21 14:20:00,5.0
2020-07-21 14:35:00,2020-07-21 14:40:00,5.0
2020-07-21 15:00:00,2020-07-21 15:15:00,15.0
2020-07-21 15:45:00,2020-07-21 15:50:00,5.0
2020-07-21 16:20:00,2020-07-21 18:30:00,130.0
2020-07-21 18:45:00,2020-07-21 18:55:00,10.0
2020-07-21 19:10:00,2020-07-21 19:15:00,5.0
2020-07-21 19:25:00,2020-07-21 19:30:00,5.0
2020-07-21 19:35:00,2020-07-21 19:40:00,5.0
2020-07-21 21:05:00,2020-07-21 21:10:00,5.0
2020-07-22 00:00:00,2020-07-22 00:05:00,5.0
2020-07-24 09:20:00,2020-07-24 09:25:00,5.0
2020-07-24 10:35:00,2020-07-24 10:45:00,10.0
