,true,persist_pred,arima_pred
2020-02-06 09:50:00,902.51,890.33,891.6574460625744
2020-02-06 09:55:00,886.49,902.51,891.6574460625744
2020-02-06 10:00:00,891.76,886.49,891.6574460625744
2020-02-06 10:05:00,896.99,891.76,891.6574460625744
2020-02-06 10:10:00,891.68,896.99,891.6574460625744
2020-02-06 10:15:00,898.13,891.68,891.6574460625744
2020-02-06 10:20:00,899.84,898.13,891.6574460625744
2020-02-06 10:25:00,884.74,899.84,891.6574460625744
2020-02-06 10:30:00,898.17,884.74,891.6574460625744
2020-02-06 10:35:00,887.61,898.17,891.6574460625744
2020-02-06 10:40:00,894.75,887.61,891.6574460625744
2020-02-06 10:45:00,910.14,894.75,891.6574460625744
2020-02-06 10:50:00,888.99,910.14,891.6574460625744
2020-02-06 10:55:00,907.06,888.99,891.6574460625744
2020-02-06 11:00:00,892.05,907.06,891.6574460625744
2020-02-06 11:05:00,888.53,892.05,891.6574460625744
2020-02-06 11:10:00,877.4,888.53,891.6574460625744
2020-02-06 11:15:00,897.93,877.4,891.6574460625744
2020-02-06 11:20:00,892.25,897.93,891.6574460625744
2020-02-06 11:25:00,898.98,892.25,891.6574460625744
2020-02-06 11:30:00,891.18,898.98,891.6574460625744
2020-02-06 11:35:00,893.68,891.18,891.6574460625744
2020-02-06 11:40:00,891.68,893.68,891.6574460625744
2020-02-06 11:45:00,901.77,891.68,891.6574460625744
2020-02-06 11:50:00,890.94,901.77,891.6574460625744
2020-02-06 11:55:00,899.81,890.94,891.6574460625744
2020-02-06 12:00:00,899.7,899.81,891.6574460625744
2020-02-06 12:05:00,892.48,899.7,891.6574460625744
2020-02-06 12:10:00,891.46,892.48,891.6574460625744
2020-02-06 12:15:00,889.5,891.46,891.6574460625744
2020-02-06 12:20:00,889.66,889.5,891.6574460625744
2020-02-06 12:25:00,894.06,889.66,891.6574460625744
2020-02-06 12:30:00,889.6,894.06,891.6574460625744
2020-02-06 12:35:00,892.14,889.6,891.6574460625744
2020-02-06 12:40:00,894.38,892.14,891.6574460625744
2020-02-06 12:45:00,916.27,894.38,891.6574460625744
2020-02-06 12:50:00,906.16,916.27,891.6574460625744
2020-02-06 12:55:00,898.77,906.16,891.6574460625744
2020-02-06 13:00:00,913.15,898.77,891.6574460625744
2020-02-06 13:05:00,898.72,913.15,891.6574460625744
2020-02-06 13:10:00,900.22,898.72,891.6574460625744
2020-02-06 13:15:00,889.52,900.22,891.6574460625744
2020-02-06 13:20:00,882.75,889.52,891.6574460625744
2020-02-06 13:25:00,856.63,882.75,891.6574460625744
2020-02-06 13:30:00,868.61,856.63,891.6574460625744
2020-02-06 13:35:00,873.63,868.61,891.6574460625744
2020-02-06 13:40:00,868.11,873.63,891.6574460625744
2020-02-06 13:45:00,884.0,868.11,891.6574460625744
2020-02-06 13:50:00,894.62,884.0,891.6574460625744
2020-02-06 13:55:00,904.9,894.62,891.6574460625744
2020-02-06 14:00:00,907.04,904.9,891.6574460625744
2020-02-06 14:05:00,916.06,907.04,891.6574460625744
2020-02-06 14:10:00,894.0,916.06,891.6574460625744
2020-02-06 14:15:00,879.62,894.0,891.6574460625744
2020-02-06 14:20:00,888.27,879.62,891.6574460625744
2020-02-06 14:25:00,877.97,888.27,891.6574460625744
2020-02-06 14:30:00,868.04,877.97,891.6574460625744
2020-02-06 14:35:00,871.62,868.04,891.6574460625744
2020-02-06 14:40:00,874.03,871.62,891.6574460625744
2020-02-06 14:45:00,884.84,874.03,891.6574460625744
2020-02-06 14:50:00,869.76,884.84,891.6574460625744
2020-02-06 14:55:00,866.83,869.76,891.6574460625744
2020-02-06 15:00:00,873.72,866.83,891.6574460625744
2020-02-06 15:05:00,879.62,873.72,891.6574460625744
2020-02-06 15:10:00,871.31,879.62,891.6574460625744
2020-02-06 15:15:00,870.33,871.31,891.6574460625744
